Federal organization,Fiscal year,GHG source,GHG scope,Energy category,Energy use (GJ),Emissions (kt)
Natural Resources Canada,2005-06,fleet,1,fuels with renewable content,2541.626678,0.088906522
Natural Resources Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",105.9509904,0.00743874
Natural Resources Canada,2005-06,fleet,1,natural gas,0.093826038,5.32E-06
Natural Resources Canada,2005-06,facilities,2,district cooling,1963.340706,0.090210402
Natural Resources Canada,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",1666.110939,0.119131437
Natural Resources Canada,2005-06,facilities,2,district heating,123569.4139,9.833304078
Natural Resources Canada,2005-06,facilities,2,electricity,196264.8229,14.37571246
Natural Resources Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",3635.498345,0.258789683
Natural Resources Canada,2005-06,facilities,1,natural gas,167979.3459,8.300151833
Natural Resources Canada,2005-06,fleet,1,gasoline,23104.72522,1.529367783
Natural Resources Canada,2005-06,facilities,1,liquified petroleum gas,577.9082838,0.035261123
Natural Resources Canada,2005-06,fleet,1,liquified petroleum gas,146.7220592,0.008929349
Parks Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",26641.515,1.870480668
Parks Canada,2005-06,fleet,1,natural gas,0.384663895,2.18E-05
Parks Canada,2005-06,fleet,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",55447.17911,3.960015269
Parks Canada,2005-06,facilities,2,electricity,169232.7915,15.00491167
Parks Canada,2005-06,fleet,1,fuels with renewable content,29211.78613,1.80E+00
Parks Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",58457.11403,4.161216918
Parks Canada,2005-06,facilities,1,natural gas,86654.07798,4.325316216
Parks Canada,2005-06,fleet,1,gasoline,82355.64417,5.477139592
Parks Canada,2005-06,facilities,1,liquified petroleum gas,55069.73622,3.360085504
Parks Canada,2005-06,fleet,1,liquified petroleum gas,2028.545425,0.123455146
Public Health Agency of Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",809.1260147,0.056808118
Public Health Agency of Canada,2005-06,facilities,2,electricity,63022.11156,0.352376707
Public Health Agency of Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",385.0511894,0.027409525
Public Health Agency of Canada,2005-06,facilities,1,natural gas,135829.3312,6.619038836
Public Safety Canada,2005-06,facilities,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",956.6570282,6.72E-02
